Lordship Lane,BP1795,490015567G2,1,29,1,51.596633,-0.109218
Brampton Park Road,BP2778,490009461KA,2,29,1,51.593139,-0.106663
Turnpike Lane Station,375,490000241M,3,29,1,51.590842,-0.10364
West Green Road,9986,490014465Z,4,29,1,51.588065,-0.101533
Falkland Road,804,490006728S,5,29,1,51.586306,-0.10061
Beresford Road,9988,490003916S,6,29,1,51.584389,-0.100011
St Ann's Road,1042,490012434HK,7,29,1,51.582982,-0.099738
Mattison Road,9990,490011676HN,8,29,1,51.581025,-0.099358
Harringay Green Lanes Station,4838,490001139HO,9,29,1,51.577859,-0.098768
Endymion Road,9992,490006574HB,10,29,1,51.575974,-0.098428
Rowley Gardens,BP842,490011743HC,11,29,1,51.573004,-0.09721
Manor House Station,BP4608,490000142B,12,29,1,51.572006,-0.09666
Portland Rise,BP199,490015076L,13,29,1,51.569713,-0.09716
Alexandra Grove,1609,490003208S,14,29,1,51.567379,-0.100229
Finsbury Park / Blackstock Road,377,490015078M,15,29,1,51.565254,-0.103391
Finsbury Park Station,BP3912,490000083S,16,29,1,51.563799,-0.106265
Isledon Road,BP5972,490006889Z,17,29,1,51.562662,-0.107683
Berriman Road,33320,490003929S,18,29,1,51.559657,-0.110376
Sobell Centre,33321,490008368S,19,29,1,51.557999,-0.111829
Holloway Road,33322,490008298R,20,29,1,51.556387,-0.116195
Caledonian Road,33325,490004679X,21,29,1,51.555359,-0.118791
Hillmarton Road / H M Prison Holloway,33326,490008230S,22,29,1,51.553665,-0.122539
Hilldrop Road,1286,490015052S,23,29,1,51.55095,-0.126516
Brecknock Road,4714,490004278S,24,29,1,51.54937,-0.12837
Camden Park Road,1284,490004715W,25,29,1,51.547063,-0.13145
Sandall Road,1691,490011887W,26,29,1,51.545946,-0.132996
Murray Street,1282,490011616W,27,29,1,51.544134,-0.135565
Camden Road Station,331,490001045F,28,29,1,51.542317,-0.137817
Camden Town Station,324,490000036S,29,29,1,51.539801,-0.141323
Pratt Street,33260,490011168S2,30,29,1,51.537164,-0.139498
Mornington Crescent Station,33291,490000152C,31,29,1,51.533445,-0.138598
Silverdale,1277,490012158S,32,29,1,51.530747,-0.138578
Robert Street,1275,490010158S,33,29,1,51.528758,-0.138515
Warren Street Station  / Euston Road,33549,490000252R,34,29,1,51.525735,-0.138422
Gower Street / University College Hosp,29674,490013914N,35,29,1,51.524105,-0.134308
Torrington Place,BP2167,490013720S,36,29,1,51.522916,-0.133016
Chenies Street,29676,490005084D,37,29,1,51.521213,-0.131168
Great Russell Street,29735,490007414R,38,29,1,51.518395,-0.128098
Tottenham Court Road Station,BP5283,490000235W1,39,29,1,51.516415,-0.131379
Cambridge Circus,R0085,490004695D,40,29,1,51.51352,-0.129177
Leicester Square Station,7824,490000135B,41,29,1,51.511618,-0.128304
St Martin's Place,BP3536,490016161S,42,29,1,51.509858,-0.127901
